#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,1.99E+00
4.00E-02,1.15E+00
6.00E-02,8.31E-01
8.00E-02,6.60E-01
1.00E-01,5.52E-01
1.20E-01,4.77E-01
1.40E-01,4.22E-01
1.60E-01,3.80E-01
1.80E-01,3.47E-01
2.00E-01,3.19E-01
2.20E-01,2.97E-01
2.40E-01,2.78E-01
2.60E-01,2.61E-01
2.80E-01,2.47E-01
3.00E-01,2.35E-01
3.20E-01,2.24E-01
3.40E-01,2.14E-01
3.60E-01,2.06E-01
3.80E-01,1.98E-01
4.00E-01,1.91E-01
4.20E-01,1.84E-01
4.40E-01,1.79E-01
4.60E-01,1.73E-01
4.80E-01,1.68E-01
5.00E-01,1.64E-01
5.20E-01,1.59E-01
5.40E-01,1.56E-01
5.60E-01,1.52E-01
5.80E-01,1.48E-01
6.00E-01,1.45E-01
6.20E-01,1.42E-01
6.40E-01,1.39E-01
6.60E-01,1.37E-01
6.80E-01,1.34E-01
7.00E-01,1.32E-01
7.20E-01,1.30E-01
7.40E-01,1.28E-01
7.60E-01,1.26E-01
7.80E-01,1.24E-01
8.00E-01,1.22E-01
8.20E-01,1.20E-01
8.40E-01,1.19E-01
8.60E-01,1.17E-01
8.80E-01,1.15E-01
9.00E-01,1.14E-01
9.20E-01,1.13E-01
9.40E-01,1.11E-01
9.60E-01,1.10E-01
9.80E-01,1.09E-01
1.00E+00,1.08E-01
1.02E+00,1.07E-01
1.04E+00,1.06E-01
1.06E+00,1.05E-01
1.08E+00,1.04E-01
1.10E+00,1.03E-01
1.12E+00,1.02E-01
1.14E+00,1.01E-01
1.16E+00,1.00E-01
1.18E+00,9.91E-02
1.20E+00,9.83E-02
1.22E+00,9.76E-02
1.24E+00,9.68E-02
1.26E+00,9.61E-02
1.28E+00,9.54E-02
1.30E+00,9.47E-02
1.32E+00,9.41E-02
1.34E+00,9.35E-02
1.36E+00,9.29E-02
1.38E+00,9.23E-02
1.40E+00,9.17E-02
1.42E+00,9.11E-02
1.44E+00,9.06E-02
1.46E+00,9.01E-02
1.48E+00,8.95E-02
1.50E+00,8.91E-02
1.52E+00,8.86E-02
1.54E+00,8.81E-02
1.56E+00,8.76E-02
1.58E+00,8.72E-02
1.60E+00,8.68E-02
1.62E+00,8.63E-02
1.64E+00,8.59E-02
1.66E+00,8.55E-02
1.68E+00,8.51E-02
1.70E+00,8.48E-02
1.72E+00,8.44E-02
1.74E+00,8.40E-02
1.76E+00,8.37E-02
1.78E+00,8.33E-02
1.80E+00,8.30E-02
1.82E+00,8.27E-02
1.84E+00,8.24E-02
1.86E+00,8.21E-02
1.88E+00,8.18E-02
1.90E+00,8.15E-02
1.92E+00,8.12E-02
1.94E+00,8.09E-02
1.96E+00,8.06E-02
1.98E+00,8.04E-02
2.00E+00,8.01E-02
