#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,1.25E-02
4.00E-02,8.33E-03
6.00E-02,6.93E-03
8.00E-02,6.27E-03
1.00E-01,5.90E-03
1.20E-01,5.68E-03
1.40E-01,5.54E-03
1.60E-01,5.45E-03
1.80E-01,5.39E-03
2.00E-01,5.36E-03
2.20E-01,5.34E-03
2.40E-01,5.33E-03
2.60E-01,5.32E-03
2.80E-01,5.33E-03
3.00E-01,5.34E-03
3.20E-01,5.35E-03
3.40E-01,5.36E-03
3.60E-01,5.38E-03
3.80E-01,5.39E-03
4.00E-01,5.41E-03
4.20E-01,5.43E-03
4.40E-01,5.45E-03
4.60E-01,5.47E-03
4.80E-01,5.49E-03
5.00E-01,5.50E-03
5.20E-01,5.52E-03
5.40E-01,5.54E-03
5.60E-01,5.56E-03
5.80E-01,5.58E-03
6.00E-01,5.60E-03
6.20E-01,5.62E-03
6.40E-01,5.64E-03
6.60E-01,5.66E-03
6.80E-01,5.67E-03
7.00E-01,5.69E-03
7.20E-01,5.71E-03
7.40E-01,5.73E-03
7.60E-01,5.74E-03
7.80E-01,5.76E-03
8.00E-01,5.78E-03
8.20E-01,5.79E-03
8.40E-01,5.81E-03
8.60E-01,5.83E-03
8.80E-01,5.84E-03
9.00E-01,5.86E-03
9.20E-01,5.87E-03
9.40E-01,5.89E-03
9.60E-01,5.90E-03
9.80E-01,5.92E-03
1.00E+00,5.93E-03
1.02E+00,5.95E-03
1.04E+00,5.96E-03
1.06E+00,5.98E-03
1.08E+00,5.99E-03
1.10E+00,6.00E-03
1.12E+00,6.02E-03
1.14E+00,6.03E-03
1.16E+00,6.04E-03
1.18E+00,6.06E-03
1.20E+00,6.07E-03
1.22E+00,6.08E-03
1.24E+00,6.10E-03
1.26E+00,6.11E-03
1.28E+00,6.12E-03
1.30E+00,6.13E-03
1.32E+00,6.14E-03
1.34E+00,6.16E-03
1.36E+00,6.17E-03
1.38E+00,6.18E-03
1.40E+00,6.19E-03
1.42E+00,6.20E-03
1.44E+00,6.21E-03
1.46E+00,6.22E-03
1.48E+00,6.23E-03
1.50E+00,6.25E-03
1.52E+00,6.26E-03
1.54E+00,6.27E-03
1.56E+00,6.28E-03
1.58E+00,6.29E-03
1.60E+00,6.30E-03
1.62E+00,6.31E-03
1.64E+00,6.32E-03
1.66E+00,6.33E-03
1.68E+00,6.34E-03
1.70E+00,6.35E-03
1.72E+00,6.36E-03
1.74E+00,6.37E-03
1.76E+00,6.38E-03
1.78E+00,6.38E-03
1.80E+00,6.39E-03
1.82E+00,6.40E-03
1.84E+00,6.41E-03
1.86E+00,6.42E-03
1.88E+00,6.43E-03
1.90E+00,6.44E-03
1.92E+00,6.45E-03
1.94E+00,6.46E-03
1.96E+00,6.46E-03
1.98E+00,6.47E-03
2.00E+00,6.48E-03
