#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,1.25E+00
4.00E-02,7.22E-01
6.00E-02,5.21E-01
8.00E-02,4.14E-01
1.00E-01,3.46E-01
1.20E-01,2.99E-01
1.40E-01,2.65E-01
1.60E-01,2.38E-01
1.80E-01,2.17E-01
2.00E-01,2.00E-01
2.20E-01,1.86E-01
2.40E-01,1.74E-01
2.60E-01,1.64E-01
2.80E-01,1.55E-01
3.00E-01,1.47E-01
3.20E-01,1.40E-01
3.40E-01,1.34E-01
3.60E-01,1.29E-01
3.80E-01,1.24E-01
4.00E-01,1.20E-01
4.20E-01,1.16E-01
4.40E-01,1.12E-01
4.60E-01,1.09E-01
4.80E-01,1.05E-01
5.00E-01,1.03E-01
5.20E-01,9.99E-02
5.40E-01,9.75E-02
5.60E-01,9.52E-02
5.80E-01,9.30E-02
6.00E-01,9.10E-02
6.20E-01,8.92E-02
6.40E-01,8.74E-02
6.60E-01,8.57E-02
6.80E-01,8.42E-02
7.00E-01,8.27E-02
7.20E-01,8.13E-02
7.40E-01,8.00E-02
7.60E-01,7.87E-02
7.80E-01,7.75E-02
8.00E-01,7.64E-02
8.20E-01,7.53E-02
8.40E-01,7.43E-02
8.60E-01,7.33E-02
8.80E-01,7.24E-02
9.00E-01,7.15E-02
9.20E-01,7.06E-02
9.40E-01,6.98E-02
9.60E-01,6.90E-02
9.80E-01,6.82E-02
1.00E+00,6.75E-02
1.02E+00,6.68E-02
1.04E+00,6.62E-02
1.06E+00,6.55E-02
1.08E+00,6.49E-02
1.10E+00,6.43E-02
1.12E+00,6.37E-02
1.14E+00,6.32E-02
1.16E+00,6.26E-02
1.18E+00,6.21E-02
1.20E+00,6.16E-02
1.22E+00,6.11E-02
1.24E+00,6.07E-02
1.26E+00,6.02E-02
1.28E+00,5.98E-02
1.30E+00,5.94E-02
1.32E+00,5.90E-02
1.34E+00,5.86E-02
1.36E+00,5.82E-02
1.38E+00,5.78E-02
1.40E+00,5.75E-02
1.42E+00,5.71E-02
1.44E+00,5.68E-02
1.46E+00,5.64E-02
1.48E+00,5.61E-02
1.50E+00,5.58E-02
1.52E+00,5.55E-02
1.54E+00,5.52E-02
1.56E+00,5.49E-02
1.58E+00,5.46E-02
1.60E+00,5.44E-02
1.62E+00,5.41E-02
1.64E+00,5.39E-02
1.66E+00,5.36E-02
1.68E+00,5.34E-02
1.70E+00,5.31E-02
1.72E+00,5.29E-02
1.74E+00,5.27E-02
1.76E+00,5.24E-02
1.78E+00,5.22E-02
1.80E+00,5.20E-02
1.82E+00,5.18E-02
1.84E+00,5.16E-02
1.86E+00,5.14E-02
1.88E+00,5.12E-02
1.90E+00,5.11E-02
1.92E+00,5.09E-02
1.94E+00,5.07E-02
1.96E+00,5.05E-02
1.98E+00,5.04E-02
2.00E+00,5.02E-02
