#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,5.72E-02
4.00E-02,7.18E-02
6.00E-02,8.63E-02
8.00E-02,1.01E-01
1.00E-01,1.15E-01
1.20E-01,1.30E-01
1.40E-01,1.45E-01
1.60E-01,1.59E-01
1.80E-01,1.74E-01
2.00E-01,1.89E-01
2.20E-01,2.04E-01
2.40E-01,2.18E-01
2.60E-01,2.33E-01
2.80E-01,2.48E-01
3.00E-01,2.63E-01
3.20E-01,2.77E-01
3.40E-01,2.92E-01
3.60E-01,3.07E-01
3.80E-01,3.22E-01
4.00E-01,3.37E-01
4.20E-01,3.51E-01
4.40E-01,3.66E-01
4.60E-01,3.81E-01
4.80E-01,3.96E-01
5.00E-01,4.11E-01
5.20E-01,4.25E-01
5.40E-01,4.40E-01
5.60E-01,4.55E-01
5.80E-01,4.70E-01
6.00E-01,4.85E-01
6.20E-01,5.00E-01
6.40E-01,5.14E-01
6.60E-01,5.29E-01
6.80E-01,5.44E-01
7.00E-01,5.59E-01
7.20E-01,5.74E-01
7.40E-01,5.89E-01
7.60E-01,6.04E-01
7.80E-01,6.18E-01
8.00E-01,6.33E-01
8.20E-01,6.48E-01
8.40E-01,6.63E-01
8.60E-01,6.78E-01
8.80E-01,6.93E-01
9.00E-01,7.08E-01
9.20E-01,7.22E-01
9.40E-01,7.37E-01
9.60E-01,7.52E-01
9.80E-01,7.67E-01
1.00E+00,7.82E-01
1.02E+00,7.97E-01
1.04E+00,8.12E-01
1.06E+00,8.27E-01
1.08E+00,8.42E-01
1.10E+00,8.57E-01
1.12E+00,8.73E-01
1.14E+00,8.88E-01
1.16E+00,9.03E-01
1.18E+00,9.18E-01
1.20E+00,9.33E-01
1.22E+00,9.48E-01
1.24E+00,9.63E-01
1.26E+00,9.78E-01
1.28E+00,9.93E-01
1.30E+00,1.01E+00
1.32E+00,1.02E+00
1.34E+00,1.04E+00
1.36E+00,1.05E+00
1.38E+00,1.07E+00
1.40E+00,1.08E+00
1.42E+00,1.10E+00
1.44E+00,1.11E+00
1.46E+00,1.13E+00
1.48E+00,1.14E+00
1.50E+00,1.16E+00
1.52E+00,1.17E+00
1.54E+00,1.19E+00
1.56E+00,1.21E+00
1.58E+00,1.22E+00
1.60E+00,1.24E+00
1.62E+00,1.25E+00
1.64E+00,1.27E+00
1.66E+00,1.28E+00
1.68E+00,1.30E+00
1.70E+00,1.31E+00
1.72E+00,1.33E+00
1.74E+00,1.34E+00
1.76E+00,1.36E+00
1.78E+00,1.37E+00
1.80E+00,1.39E+00
1.82E+00,1.40E+00
1.84E+00,1.42E+00
1.86E+00,1.43E+00
1.88E+00,1.45E+00
1.90E+00,1.46E+00
1.92E+00,1.48E+00
1.94E+00,1.49E+00
1.96E+00,1.51E+00
1.98E+00,1.52E+00
2.00E+00,1.54E+00
