#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,3.70E-02
4.00E-02,4.63E-02
6.00E-02,5.56E-02
8.00E-02,6.48E-02
1.00E-01,7.41E-02
1.20E-01,8.35E-02
1.40E-01,9.28E-02
1.60E-01,1.02E-01
1.80E-01,1.12E-01
2.00E-01,1.21E-01
2.20E-01,1.30E-01
2.40E-01,1.40E-01
2.60E-01,1.49E-01
2.80E-01,1.59E-01
3.00E-01,1.68E-01
3.20E-01,1.78E-01
3.40E-01,1.87E-01
3.60E-01,1.96E-01
3.80E-01,2.06E-01
4.00E-01,2.15E-01
4.20E-01,2.25E-01
4.40E-01,2.34E-01
4.60E-01,2.44E-01
4.80E-01,2.53E-01
5.00E-01,2.63E-01
5.20E-01,2.72E-01
5.40E-01,2.82E-01
5.60E-01,2.91E-01
5.80E-01,3.00E-01
6.00E-01,3.10E-01
6.20E-01,3.19E-01
6.40E-01,3.29E-01
6.60E-01,3.38E-01
6.80E-01,3.48E-01
7.00E-01,3.57E-01
7.20E-01,3.67E-01
7.40E-01,3.76E-01
7.60E-01,3.86E-01
7.80E-01,3.95E-01
8.00E-01,4.05E-01
8.20E-01,4.14E-01
8.40E-01,4.24E-01
8.60E-01,4.33E-01
8.80E-01,4.43E-01
9.00E-01,4.52E-01
9.20E-01,4.62E-01
9.40E-01,4.71E-01
9.60E-01,4.81E-01
9.80E-01,4.90E-01
1.00E+00,5.00E-01
1.02E+00,5.09E-01
1.04E+00,5.19E-01
1.06E+00,5.29E-01
1.08E+00,5.38E-01
1.10E+00,5.48E-01
1.12E+00,5.57E-01
1.14E+00,5.67E-01
1.16E+00,5.77E-01
1.18E+00,5.86E-01
1.20E+00,5.96E-01
1.22E+00,6.06E-01
1.24E+00,6.15E-01
1.26E+00,6.25E-01
1.28E+00,6.35E-01
1.30E+00,6.44E-01
1.32E+00,6.54E-01
1.34E+00,6.64E-01
1.36E+00,6.73E-01
1.38E+00,6.83E-01
1.40E+00,6.92E-01
1.42E+00,7.02E-01
1.44E+00,7.12E-01
1.46E+00,7.21E-01
1.48E+00,7.31E-01
1.50E+00,7.41E-01
1.52E+00,7.50E-01
1.54E+00,7.60E-01
1.56E+00,7.70E-01
1.58E+00,7.79E-01
1.60E+00,7.89E-01
1.62E+00,7.99E-01
1.64E+00,8.08E-01
1.66E+00,8.18E-01
1.68E+00,8.28E-01
1.70E+00,8.37E-01
1.72E+00,8.47E-01
1.74E+00,8.57E-01
1.76E+00,8.66E-01
1.78E+00,8.76E-01
1.80E+00,8.86E-01
1.82E+00,8.95E-01
1.84E+00,9.05E-01
1.86E+00,9.15E-01
1.88E+00,9.24E-01
1.90E+00,9.34E-01
1.92E+00,9.44E-01
1.94E+00,9.53E-01
1.96E+00,9.63E-01
1.98E+00,9.72E-01
2.00E+00,9.82E-01
