#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,2.35E-01
4.00E-02,2.83E-01
6.00E-02,3.29E-01
8.00E-02,3.75E-01
1.00E-01,4.21E-01
1.20E-01,4.67E-01
1.40E-01,5.14E-01
1.60E-01,5.60E-01
1.80E-01,6.06E-01
2.00E-01,6.53E-01
2.20E-01,6.99E-01
2.40E-01,7.45E-01
2.60E-01,7.92E-01
2.80E-01,8.38E-01
3.00E-01,8.85E-01
3.20E-01,9.31E-01
3.40E-01,9.77E-01
3.60E-01,1.02E+00
3.80E-01,1.07E+00
4.00E-01,1.12E+00
4.20E-01,1.16E+00
4.40E-01,1.21E+00
4.60E-01,1.26E+00
4.80E-01,1.30E+00
5.00E-01,1.35E+00
5.20E-01,1.40E+00
5.40E-01,1.44E+00
5.60E-01,1.49E+00
5.80E-01,1.54E+00
6.00E-01,1.58E+00
6.20E-01,1.63E+00
6.40E-01,1.68E+00
6.60E-01,1.72E+00
6.80E-01,1.77E+00
7.00E-01,1.81E+00
7.20E-01,1.86E+00
7.40E-01,1.91E+00
7.60E-01,1.95E+00
7.80E-01,2.00E+00
8.00E-01,2.05E+00
8.20E-01,2.09E+00
8.40E-01,2.14E+00
8.60E-01,2.19E+00
8.80E-01,2.23E+00
9.00E-01,2.28E+00
9.20E-01,2.33E+00
9.40E-01,2.37E+00
9.60E-01,2.42E+00
9.80E-01,2.47E+00
1.00E+00,2.51E+00
1.02E+00,2.56E+00
1.04E+00,2.61E+00
1.06E+00,2.66E+00
1.08E+00,2.70E+00
1.10E+00,2.75E+00
1.12E+00,2.80E+00
1.14E+00,2.85E+00
1.16E+00,2.89E+00
1.18E+00,2.94E+00
1.20E+00,2.99E+00
1.22E+00,3.04E+00
1.24E+00,3.08E+00
1.26E+00,3.13E+00
1.28E+00,3.18E+00
1.30E+00,3.22E+00
1.32E+00,3.27E+00
1.34E+00,3.32E+00
1.36E+00,3.37E+00
1.38E+00,3.41E+00
1.40E+00,3.46E+00
1.42E+00,3.51E+00
1.44E+00,3.56E+00
1.46E+00,3.60E+00
1.48E+00,3.65E+00
1.50E+00,3.70E+00
1.52E+00,3.75E+00
1.54E+00,3.79E+00
1.56E+00,3.84E+00
1.58E+00,3.89E+00
1.60E+00,3.93E+00
1.62E+00,3.98E+00
1.64E+00,4.03E+00
1.66E+00,4.08E+00
1.68E+00,4.12E+00
1.70E+00,4.17E+00
1.72E+00,4.22E+00
1.74E+00,4.27E+00
1.76E+00,4.31E+00
1.78E+00,4.36E+00
1.80E+00,4.41E+00
1.82E+00,4.46E+00
1.84E+00,4.50E+00
1.86E+00,4.55E+00
1.88E+00,4.60E+00
1.90E+00,4.65E+00
1.92E+00,4.69E+00
1.94E+00,4.74E+00
1.96E+00,4.79E+00
1.98E+00,4.83E+00
2.00E+00,4.88E+00
