#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,1.76E-01
4.00E-02,2.22E-01
6.00E-02,2.69E-01
8.00E-02,3.15E-01
1.00E-01,3.62E-01
1.20E-01,4.08E-01
1.40E-01,4.55E-01
1.60E-01,5.02E-01
1.80E-01,5.49E-01
2.00E-01,5.96E-01
2.20E-01,6.43E-01
2.40E-01,6.90E-01
2.60E-01,7.37E-01
2.80E-01,7.84E-01
3.00E-01,8.32E-01
3.20E-01,8.79E-01
3.40E-01,9.26E-01
3.60E-01,9.73E-01
3.80E-01,1.02E+00
4.00E-01,1.07E+00
4.20E-01,1.11E+00
4.40E-01,1.16E+00
4.60E-01,1.21E+00
4.80E-01,1.26E+00
5.00E-01,1.30E+00
5.20E-01,1.35E+00
5.40E-01,1.40E+00
5.60E-01,1.45E+00
5.80E-01,1.49E+00
6.00E-01,1.54E+00
6.20E-01,1.59E+00
6.40E-01,1.64E+00
6.60E-01,1.68E+00
6.80E-01,1.73E+00
7.00E-01,1.78E+00
7.20E-01,1.82E+00
7.40E-01,1.87E+00
7.60E-01,1.92E+00
7.80E-01,1.97E+00
8.00E-01,2.01E+00
8.20E-01,2.06E+00
8.40E-01,2.11E+00
8.60E-01,2.16E+00
8.80E-01,2.20E+00
9.00E-01,2.25E+00
9.20E-01,2.30E+00
9.40E-01,2.35E+00
9.60E-01,2.39E+00
9.80E-01,2.44E+00
1.00E+00,2.49E+00
1.02E+00,2.54E+00
1.04E+00,2.59E+00
1.06E+00,2.63E+00
1.08E+00,2.68E+00
1.10E+00,2.73E+00
1.12E+00,2.78E+00
1.14E+00,2.83E+00
1.16E+00,2.87E+00
1.18E+00,2.92E+00
1.20E+00,2.97E+00
1.22E+00,3.02E+00
1.24E+00,3.07E+00
1.26E+00,3.12E+00
1.28E+00,3.16E+00
1.30E+00,3.21E+00
1.32E+00,3.26E+00
1.34E+00,3.31E+00
1.36E+00,3.36E+00
1.38E+00,3.41E+00
1.40E+00,3.45E+00
1.42E+00,3.50E+00
1.44E+00,3.55E+00
1.46E+00,3.60E+00
1.48E+00,3.65E+00
1.50E+00,3.69E+00
1.52E+00,3.74E+00
1.54E+00,3.79E+00
1.56E+00,3.84E+00
1.58E+00,3.89E+00
1.60E+00,3.94E+00
1.62E+00,3.98E+00
1.64E+00,4.03E+00
1.66E+00,4.08E+00
1.68E+00,4.13E+00
1.70E+00,4.18E+00
1.72E+00,4.23E+00
1.74E+00,4.27E+00
1.76E+00,4.32E+00
1.78E+00,4.37E+00
1.80E+00,4.42E+00
1.82E+00,4.47E+00
1.84E+00,4.52E+00
1.86E+00,4.56E+00
1.88E+00,4.61E+00
1.90E+00,4.66E+00
1.92E+00,4.71E+00
1.94E+00,4.76E+00
1.96E+00,4.80E+00
1.98E+00,4.85E+00
2.00E+00,4.90E+00
