#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,1.59E+00
4.00E-02,9.21E-01
6.00E-02,6.65E-01
8.00E-02,5.28E-01
1.00E-01,4.42E-01
1.20E-01,3.82E-01
1.40E-01,3.38E-01
1.60E-01,3.04E-01
1.80E-01,2.77E-01
2.00E-01,2.56E-01
2.20E-01,2.37E-01
2.40E-01,2.22E-01
2.60E-01,2.09E-01
2.80E-01,1.98E-01
3.00E-01,1.88E-01
3.20E-01,1.79E-01
3.40E-01,1.72E-01
3.60E-01,1.65E-01
3.80E-01,1.58E-01
4.00E-01,1.53E-01
4.20E-01,1.48E-01
4.40E-01,1.43E-01
4.60E-01,1.39E-01
4.80E-01,1.35E-01
5.00E-01,1.31E-01
5.20E-01,1.28E-01
5.40E-01,1.24E-01
5.60E-01,1.22E-01
5.80E-01,1.19E-01
6.00E-01,1.16E-01
6.20E-01,1.14E-01
6.40E-01,1.12E-01
6.60E-01,1.09E-01
6.80E-01,1.07E-01
7.00E-01,1.06E-01
7.20E-01,1.04E-01
7.40E-01,1.02E-01
7.60E-01,1.00E-01
7.80E-01,9.90E-02
8.00E-01,9.75E-02
8.20E-01,9.61E-02
8.40E-01,9.48E-02
8.60E-01,9.36E-02
8.80E-01,9.24E-02
9.00E-01,9.12E-02
9.20E-01,9.01E-02
9.40E-01,8.91E-02
9.60E-01,8.81E-02
9.80E-01,8.71E-02
1.00E+00,8.62E-02
1.02E+00,8.53E-02
1.04E+00,8.45E-02
1.06E+00,8.36E-02
1.08E+00,8.28E-02
1.10E+00,8.21E-02
1.12E+00,8.14E-02
1.14E+00,8.06E-02
1.16E+00,8.00E-02
1.18E+00,7.93E-02
1.20E+00,7.87E-02
1.22E+00,7.81E-02
1.24E+00,7.75E-02
1.26E+00,7.69E-02
1.28E+00,7.63E-02
1.30E+00,7.58E-02
1.32E+00,7.53E-02
1.34E+00,7.48E-02
1.36E+00,7.43E-02
1.38E+00,7.38E-02
1.40E+00,7.33E-02
1.42E+00,7.29E-02
1.44E+00,7.25E-02
1.46E+00,7.20E-02
1.48E+00,7.16E-02
1.50E+00,7.12E-02
1.52E+00,7.09E-02
1.54E+00,7.05E-02
1.56E+00,7.01E-02
1.58E+00,6.98E-02
1.60E+00,6.94E-02
1.62E+00,6.91E-02
1.64E+00,6.87E-02
1.66E+00,6.84E-02
1.68E+00,6.81E-02
1.70E+00,6.78E-02
1.72E+00,6.75E-02
1.74E+00,6.72E-02
1.76E+00,6.70E-02
1.78E+00,6.67E-02
1.80E+00,6.64E-02
1.82E+00,6.62E-02
1.84E+00,6.59E-02
1.86E+00,6.57E-02
1.88E+00,6.54E-02
1.90E+00,6.52E-02
1.92E+00,6.49E-02
1.94E+00,6.47E-02
1.96E+00,6.45E-02
1.98E+00,6.43E-02
2.00E+00,6.41E-02
